 ,democrat,republican
y,72,17
n,52,71
?,1,4
 ,democrat,republican
y,63,38
n,53,41
?,9,13
 ,democrat,republican
y,113,11
n,11,75
?,1,6
 ,democrat,republican
y,8,86
n,113,0
?,4,6
 ,democrat,republican
y,22,83
n,101,5
?,2,4
 ,democrat,republican
y,59,83
n,63,5
?,3,4
 ,democrat,republican
y,102,22
n,21,65
?,2,5
 ,democrat,republican
y,107,11
n,16,70
?,2,11
 ,democrat,republican
y,89,10
n,30,78
?,6,4
 ,democrat,republican
y,54,49
n,69,39
?,2,4
 ,democrat,republican
y,58,10
n,63,76
?,4,6
 ,democrat,republican
y,22,72
n,97,15
?,6,5
 ,democrat,republican
y,38,71
n,80,10
?,7,11
 ,democrat,republican
y,44,83
n,79,3
?,2,6
 ,democrat,republican
y,68,8
n,50,75
?,7,9
 ,democrat,republican
y,86,48
n,3,24
?,36,20
